Institution,Data Source,Species,Total Length (cm),Fork Length (cm),Difference in Total & Fork Length (cm)
MLML,MLML NMFS Dissection,Vermilion Rockfish,49.9,48.2,1.7
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,30.4,29,1.4
MLML,MLML NMFS Dissection,Vermilion Rockfish,50.4,49,1.4
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,24.5,23.1,1.4
MLML,MLML NMFS Dissection,Black Rockfish,25,23.7,1.3
MLML,MLML NMFS Dissection,Olive Rockfish,34.9,33.6,1.3
MLML,MLML NMFS Dissection,Black Rockfish,38.2,37,1.2
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,36.2,35,1.2
MLML,MLML NMFS Dissection,Olive Rockfish,32.1,31,1.1
MLML,MLML NMFS Dissection,Lingcod,63.2,62.1,1.1
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,32.6,31.6,1
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,26,25,1
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,24.4,23.4,1
MLML,MLML NMFS Dissection,Black Rockfish,31.1,30.1,1
MLML,MLML NMFS Dissection,Vermilion Rockfish,32.7,31.8,0.9
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,25.3,24.4,0.9
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,34.3,33.4,0.9
MLML,MLML NMFS Dissection,Black Rockfish,37.1,36.2,0.9
MLML,MLML NMFS Dissection,Black Rockfish,34.1,33.2,0.9
MLML,MLML NMFS Dissection,Black Rockfish,35.4,34.5,0.9
MLML,MLML NMFS Dissection,Olive Rockfish,26.4,25.5,0.9
MLML,MLML NMFS Dissection,Olive Rockfish,33.1,32.2,0.9
MLML,MLML NMFS Dissection,Black Rockfish,36.6,35.8,0.8
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,23.2,22.4,0.8
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,25.2,24.4,0.8
MLML,MLML NMFS Dissection,Black Rockfish,31.2,30.4,0.8
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,22.6,21.8,0.8
MLML,MLML NMFS Dissection,Black Rockfish,35.3,34.5,0.8
MLML,MLML NMFS Dissection,Black Rockfish,33.5,32.7,0.8
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,36.2,35.5,0.7
MLML,MLML NMFS Dissection,Vermilion Rockfish,46.1,45.4,0.7
MLML,MLML NMFS Dissection,Kelp Greenling,37.5,36.8,0.7
MLML,MLML NMFS Dissection,Olive Rockfish,35,34.3,0.7
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,30.4,29.7,0.7
MLML,MLML NMFS Dissection,Yellowtail Rockfish,28.9,28.2,0.7
MLML,MLML NMFS Dissection,Vermilion Rockfish,20.8,20.1,0.7
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,22.9,22.2,0.7
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,30.6,30,0.6
MLML,MLML NMFS Dissection,Olive Rockfish,36,35.4,0.6
MLML,MLML NMFS Dissection,Olive Rockfish,27.5,26.9,0.6
MLML,MLML NMFS Dissection,Olive Rockfish,34,33.4,0.6
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,20.4,19.8,0.6
MLML,MLML NMFS Dissection,Black Rockfish,26.2,25.6,0.6
MLML,MLML NMFS Dissection,Rosy Rockfish,22.7,22.1,0.6
MLML,MLML NMFS Dissection,Black Rockfish,33.8,33.2,0.6
MLML,MLML NMFS Dissection,Black Rockfish,28.8,28.3,0.5
MLML,MLML NMFS Dissection,Black Rockfish,24.2,23.7,0.5
MLML,MLML NMFS Dissection,Black Rockfish,28.5,28,0.5
MLML,MLML NMFS Dissection,Black Rockfish,27.8,27.3,0.5
MLML,MLML NMFS Dissection,Lingcod,44.5,44,0.5
MLML,MLML NMFS Dissection,Rosy Rockfish,20.7,20.2,0.5
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,17,16.5,0.5
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,17.1,16.6,0.5
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,16.3,15.8,0.5
MLML,MLML NMFS Dissection,Black Rockfish,37.2,36.8,0.4
MLML,MLML NMFS Dissection,Lingcod,41.2,40.8,0.4
MLML,MLML NMFS Dissection,Black Rockfish,27.1,26.7,0.4
MLML,MLML NMFS Dissection,Black Rockfish,24.8,24.4,0.4
MLML,MLML NMFS Dissection,Olive Rockfish,27.3,26.9,0.4
MLML,MLML NMFS Dissection,Olive Rockfish,34.5,34.1,0.4
MLML,MLML NMFS Dissection,Vermilion Rockfish,32.9,32.5,0.4
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,20.9,20.5,0.4
MLML,MLML NMFS Dissection,Black Rockfish,35.4,35,0.4
MLML,MLML NMFS Dissection,Yellowtail Rockfish,23.5,23.1,0.4
MLML,MLML NMFS Dissection,Black Rockfish,35.1,34.7,0.4
MLML,MLML NMFS Dissection,Rosy Rockfish,21.5,21.1,0.4
MLML,MLML NMFS Dissection,Olive Rockfish,37.4,37,0.4
MLML,MLML NMFS Dissection,Olive Rockfish,38.6,38.3,0.3
MLML,MLML NMFS Dissection,Kelp Greenling,38.6,38.3,0.3
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,24.2,23.9,0.3
MLML,MLML NMFS Dissection,Black Rockfish,27.6,27.3,0.3
MLML,MLML NMFS Dissection,Brown Rockfish,23.7,23.4,0.3
MLML,MLML NMFS Dissection,Rosy Rockfish,18.1,17.8,0.3
MLML,MLML NMFS Dissection,Rosy Rockfish,19.2,18.9,0.3
MLML,MLML NMFS Dissection,Rosy Rockfish,22.5,22.2,0.3
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,20.8,20.5,0.3
MLML,MLML NMFS Dissection,Vermilion Rockfish,23.4,23.1,0.3
MLML,MLML NMFS Dissection,Vermilion Rockfish,22.9,22.6,0.3
MLML,MLML NMFS Dissection,Rosy Rockfish,24.4,24.1,0.3
MLML,MLML NMFS Dissection,Lingcod,57.5,57.2,0.3
MLML,MLML NMFS Dissection,Vermilion Rockfish,32.1,31.9,0.2
MLML,MLML NMFS Dissection,Gopher Rockfish,26.6,26.4,0.2
MLML,MLML NMFS Dissection,Yellowtail Rockfish,17,16.8,0.2
MLML,MLML NMFS Dissection,Yellowtail Rockfish,22.7,22.5,0.2
MLML,MLML NMFS Dissection,Rosy Rockfish,18.3,18.1,0.2
MLML,MLML NMFS Dissection,Rosy Rockfish,17.5,17.3,0.2
MLML,MLML NMFS Dissection,Rosy Rockfish,23.8,23.7,0.1
MLML,MLML NMFS Dissection,Copper Rockfish,34.3,34.3,0
MLML,MLML NMFS Dissection,Treefish,29.7,29.7,0
MLML,MLML NMFS Dissection,Copper Rockfish,31.7,31.7,0
MLML,MLML NMFS Dissection,Gopher Rockfish,28.2,28.2,0
MLML,MLML NMFS Dissection,Gopher Rockfish,25.2,25.2,0
MLML,MLML NMFS Dissection,Gopher Rockfish,27.9,27.9,0
MLML,MLML NMFS Dissection,Gopher Rockfish,23.3,23.3,0
MLML,MLML NMFS Dissection,Copper Rockfish,19.7,19.7,0
MLML,MLML NMFS Dissection,China Rockfish,17.2,17.2,0
MLML,MLML NMFS Dissection,Gopher Rockfish,22.5,22.5,0
MLML,MLML NMFS Dissection,China Rockfish,31.1,31.1,0
MLML,MLML NMFS Dissection,Gopher Rockfish,28.8,28.8,0
MLML,MLML NMFS Dissection,Copper Rockfish,32,32,0
MLML,MLML NMFS Dissection,Treefish,34.9,34.9,0
MLML,MLML NMFS Dissection,Gopher Rockfish,28.7,28.7,0
MLML,MLML NMFS Dissection,China Rockfish,28,28,0
MLML,MLML NMFS Dissection,Copper Rockfish,27,27,0
MLML,MLML NMFS Dissection,Gopher Rockfish,26.5,26.5,0
MLML,MLML NMFS Dissection,Gopher Rockfish,25.3,25.3,0
MLML,MLML NMFS Dissection,China Rockfish,29.5,29.5,0
MLML,MLML NMFS Dissection,China Rockfish,25.4,25.4,0
MLML,MLML NMFS Dissection,Gopher Rockfish,24.8,24.8,0
MLML,MLML NMFS Dissection,China Rockfish,34.8,34.8,0
MLML,MLML NMFS Dissection,Gopher Rockfish,19.2,19.2,0
MLML,MLML NMFS Dissection,Gopher Rockfish,12.1,12.1,0
MLML,MLML NMFS Dissection,Gopher Rockfish,21,21,0
MLML,MLML NMFS Dissection,China Rockfish,28,28,0
MLML,MLML NMFS Dissection,Gopher Rockfish,31.1,31.1,0
MLML,MLML NMFS Dissection,China Rockfish,21.1,21.1,0
MLML,MLML NMFS Dissection,China Rockfish,29.5,29.5,0
MLML,MLML NMFS Dissection,Gopher Rockfish,23.3,23.3,0
MLML,MLML NMFS Dissection,China Rockfish,30.4,30.4,0
MLML,MLML NMFS Dissection,Gopher Rockfish,33.3,33.3,0
MLML,MLML NMFS Dissection,Black Rockfish,25,25,0
MLML,MLML NMFS Dissection,Brown Rockfish,43.2,43.2,0
MLML,MLML NMFS Dissection,Brown Rockfish,37.9,37.9,0
MLML,MLML NMFS Dissection,Gopher Rockfish,24.6,24.6,0
MLML,MLML NMFS Dissection,Gopher Rockfish,27,27,0
MLML,MLML NMFS Dissection,Brown Rockfish,32.3,32.3,0
MLML,MLML NMFS Dissection,Brown Rockfish,37.4,37.4,0
MLML,MLML NMFS Dissection,China Rockfish,27.5,27.5,0
