FL,TL_blu,TL_bla,TL_ver,TL_oyt,TL_cpr,TL_cny
11,11.65913,11.7603,10.850762,11.09488,11,11.390588000000001
12,12.673757,12.759950000000002,11.890882,12.12139,12,12.451231000000002
13,13.688384000000001,13.7596,12.931002,13.1479,13,13.511874
14,14.703011,14.759250000000002,13.971122,14.17441,14,14.572517000000001
15,15.717637999999999,15.7589,15.011242,15.20092,15,15.63316
16,16.732264999999998,16.75855,16.051361999999997,16.227430000000002,16,16.693803
17,17.746892,17.758200000000002,17.091482,17.253940000000004,17,17.754445999999998
18,18.761519,18.75785,18.131601999999997,18.280450000000002,18,18.815089
19,19.776145999999997,19.7575,19.171721999999995,19.30696,19,19.875732
20,20.790772999999998,20.757150000000003,20.211841999999997,20.333470000000002,20,20.936374999999998
21,21.8054,21.756800000000002,21.251962,21.359980000000004,21,21.997018
22,22.820026999999996,22.75645,22.292081999999997,22.386490000000002,22,23.057661
23,23.834653999999997,23.7561,23.332201999999995,23.413,23,24.118304
24,24.849280999999998,24.755750000000003,24.372321999999997,24.439510000000002,24,25.178947
25,25.863908,25.7554,25.412442,25.466020000000004,25,26.23959
26,26.878535,26.75505,26.452561999999997,26.492530000000002,26,27.300233
27,27.893161999999997,27.754700000000003,27.492681999999995,27.51904,27,28.360875999999998
28,28.907788999999998,28.754350000000002,28.532801999999997,28.545550000000002,28,29.421519
29,29.922416,29.754,29.572922,29.572060000000004,29,30.482162
30,30.937042999999996,30.75365,30.613041999999997,30.598570000000002,30,31.542804999999998
31,31.951669999999996,31.753300000000003,31.653161999999995,31.62508,31,32.603448
32,32.966297,32.75295,32.693281999999996,32.65159,32,33.664091
33,33.980923999999995,33.7526,33.733402,33.6781,33,34.724734
34,34.995551,34.752250000000004,34.773522,34.70461,34,35.785377
35,36.010177999999996,35.7519,35.813641999999994,35.73112,35,36.846019999999996
36,37.024805,36.75155,36.853761999999996,36.75763,36,37.906663
37,38.039432,37.751200000000004,37.893882,37.78414,37,38.967306
38,39.054058999999995,38.75085,38.93400199999999,38.810649999999995,38,40.027949
39,40.068686,39.7505,39.974121999999994,39.83716,39,41.088592
40,41.083313,40.750150000000005,41.014241999999996,40.86367,40,42.149235
41,42.097939999999994,41.7498,42.054362,41.89018,41,43.209877999999996
42,43.112567,42.74945,43.094482,42.91669,42,44.270521
43,44.127193999999996,43.749100000000006,44.134601999999994,43.9432,43,45.331164
44,45.14182099999999,44.74875,45.174721999999996,44.96971,44,46.391807
45,46.156448,45.748400000000004,46.214842,45.99622,45,47.45245
46,47.171074999999995,46.74805,47.25496199999999,47.022729999999996,46,48.513093
47,48.185702,47.7477,48.295081999999994,48.04924,47,49.573736
48,49.200328999999996,48.747350000000004,49.335201999999995,49.07575,48,50.634379
49,50.214955999999994,49.747,50.375322,50.10226,49,51.695022
50,51.229583,50.74665,51.415442,51.12877,50,52.755665
51,52.244209999999995,51.746300000000005,52.45556199999999,52.15528,51,53.816308
52,53.258837,52.74595,53.495681999999995,53.18179,52,54.876951
53,54.273464,53.7456,54.535802,54.2083,53,55.937594
54,55.288090999999994,54.745250000000006,55.57592199999999,55.234809999999996,54,56.998236999999996
55,56.302718,55.7449,56.61604199999999,56.26132,55,58.05888
56,57.317344999999996,56.744550000000004,57.656161999999995,57.28783,56,59.119523
57,58.33197199999999,57.744200000000006,58.696282,58.31434,57,60.180166
58,59.346599,58.74385,59.736402,59.34085,58,61.240809
59,60.361225999999995,59.743500000000004,60.77652199999999,60.36736,59,62.301452
60,61.37585299999999,60.74315,61.816641999999995,61.39387,60,63.362095
61,62.39048,61.7428,62.856761999999996,62.42038,61,64.42273800000001
62,63.405106999999994,62.742450000000005,63.89688199999999,63.446889999999996,62,65.48338100000001
63,64.419734,63.7421,64.93700199999999,64.4734,63,66.54402400000001
