Institution,Data Source,Species,Total Length (cm),Fork Length (cm),Difference in Total & Fork Length (cm)
MLML,Brooks Canary Project,Canary Rockfish,42,34,8
MLML,Brooks Canary Project,Canary Rockfish,51,44,7
MLML,Brooks Canary Project,Canary Rockfish,27,20,7
MLML,Brooks Canary Project,Canary Rockfish,31,24,7
MLML,Brooks Canary Project,Canary Rockfish,50,43,7
MLML,Brooks Canary Project,Canary Rockfish,61,55,6
MLML,Brooks Canary Project,Canary Rockfish,52,46,6
MLML,Brooks Canary Project,Canary Rockfish,52,46,6
MLML,Brooks Canary Project,Canary Rockfish,51,45,6
MLML,Brooks Canary Project,Canary Rockfish,52,46,6
MLML,Brooks Canary Project,Canary Rockfish,48,42,6
MLML,Brooks Canary Project,Canary Rockfish,60,55,5
MLML,Brooks Canary Project,Canary Rockfish,55,50,5
MLML,Brooks Canary Project,Canary Rockfish,41,36,5
MLML,Brooks Canary Project,Canary Rockfish,52,47,5
MLML,Brooks Canary Project,Canary Rockfish,62,57,5
MLML,Brooks Canary Project,Canary Rockfish,45,40,5
MLML,Brooks Canary Project,Canary Rockfish,45,41,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,48,44,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,60,56,4
MLML,Brooks Canary Project,Canary Rockfish,52,48,4
MLML,Brooks Canary Project,Canary Rockfish,46,42,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,61,57,4
MLML,Brooks Canary Project,Canary Rockfish,51,47,4
MLML,Brooks Canary Project,Canary Rockfish,57,53,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,59,55,4
MLML,Brooks Canary Project,Canary Rockfish,58,54,4
MLML,Brooks Canary Project,Canary Rockfish,61,57,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,58,54,4
MLML,Brooks Canary Project,Canary Rockfish,59,55,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,50,46,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,38,34,4
MLML,Brooks Canary Project,Canary Rockfish,39,35,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,44,40,4
MLML,Brooks Canary Project,Canary Rockfish,50,46,4
MLML,Brooks Canary Project,Canary Rockfish,52,48,4
MLML,Brooks Canary Project,Canary Rockfish,52,48,4
MLML,Brooks Canary Project,Canary Rockfish,61,57,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,59,55,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,62,58,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,53,49,4
MLML,Brooks Canary Project,Canary Rockfish,57,53,4
MLML,Brooks Canary Project,Canary Rockfish,59,55,4
MLML,Brooks Canary Project,Canary Rockfish,56,52,4
MLML,Brooks Canary Project,Canary Rockfish,59,55,4
MLML,Brooks Canary Project,Canary Rockfish,54,50,4
MLML,Brooks Canary Project,Canary Rockfish,51,47,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,63,59,4
MLML,Brooks Canary Project,Canary Rockfish,43,39,4
MLML,Brooks Canary Project,Canary Rockfish,58,54,4
MLML,Brooks Canary Project,Canary Rockfish,51,47,4
MLML,Brooks Canary Project,Canary Rockfish,55,51,4
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,38,35,3
MLML,Brooks Canary Project,Canary Rockfish,34,31,3
MLML,MLML CCFRP Trip,Blue/Deacon Rockfish,20,17,3
MLML,MLML CCFRP Trip,Black Rockfish,36,33,3
MLML,MLML CCFRP Trip,Blue/Deacon Rockfish,31,28,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,38,35,3
